,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_001918505.1,GCA_001918505.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001920515.1,GCA_001920515.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001914545.1,GCA_001914545.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005877575.1,GCA_005877575.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005877605.1,GCA_005877605.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001914955.1,GCA_001914955.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001918075.1,GCA_001918075.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005793845.1,GCA_005793845.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_005788665.1,GCA_005788665.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_013521025.1,GCA_013521025.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_005798745.1,GCA_005798745.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_003569385.1,GCA_003569385.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_002737345.1,GCA_002737345.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_014192195.1,GCA_014192195.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_002473245.1,GCA_002473245.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_002299405.1,GCA_002299405.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_002254325.1,GCA_002254325.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCF_900170025.1,GCF_900170025.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_002380995.1,GCA_002380995.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_003456185.1,GCA_003456185.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_005116935.1,GCA_005116935.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_009594935.1,GCA_009594935.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_009594835.1,GCA_009594835.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_009595005.1,GCA_009595005.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_002254365.1,GCA_002254365.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_902501035.1,GCA_902501035.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_003576955.1,GCA_003576955.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_011525815.1,GCA_011525815.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_900696565.1,GCA_900696565.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_001567445.1,GCA_001567445.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_003529185.1,GCA_003529185.1,ncbi,Nitrospira_F sp002420115,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002420115,,
