,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCF_000695975.1,GCF_000695975.1,ncbi,Leptospirillum_A rubarum,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum_A,rubarum,,
GCF_000284315.1,GCF_000284315.1,ncbi,Leptospirillum ferrooxidans,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum,ferrooxidans,,
GCF_000299235.1,GCF_000299235.1,ncbi,Leptospirillum_A rubarum,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum_A,rubarum,,
GCF_001186405.1,GCF_001186405.1,ncbi,Leptospirillum_A rubarum,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum_A,rubarum,,
GCA_015709715.1,GCA_015709715.1,ncbi,,,,,,,,,,
GCA_020347665.1,GCA_020347665.1,ncbi,,,,,,,,,,
GCA_020356065.1,GCA_020356065.1,ncbi,,,,,,,,,,
GCA_020346765.1,GCA_020346765.1,ncbi,,,,,,,,,,
GCA_020354155.1,GCA_020354155.1,ncbi,,,,,,,,,,
GCA_020347785.1,GCA_020347785.1,ncbi,,,,,,,,,,
GCA_020349825.1,GCA_020349825.1,ncbi,,,,,,,,,,
GCA_016706135.1,GCA_016706135.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016709365.1,GCA_016709365.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016712165.1,GCA_016712165.1,ncbi,Nitrospira sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,sp002254365,,
GCA_016711755.1,GCA_016711755.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016715825.1,GCA_016715825.1,ncbi,,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,,,
GCA_016719745.1,GCA_016719745.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016722315.1,GCA_016722315.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016722055.1,GCA_016722055.1,ncbi,Nitrospira sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,sp002254365,,
