,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_003156895.1,GCA_003156895.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003170055.1,GCA_003170055.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003168405.1,GCA_003168405.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003157305.1,GCA_003157305.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003161685.1,GCA_003161685.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003162155.1,GCA_003162155.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003168475.1,GCA_003168475.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003170655.1,GCA_003170655.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003162365.1,GCA_003162365.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003156875.1,GCA_003156875.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003158615.1,GCA_003158615.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_001871685.1,GCA_001871685.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002783085.1,GCA_002783085.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002782185.1,GCA_002782185.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002790755.1,GCA_002790755.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002780905.1,GCA_002780905.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_009993265.1,GCA_009993265.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002781345.1,GCA_002781345.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002771505.1,GCA_002771505.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002323715.1,GCA_002323715.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_001918505.1,GCA_001918505.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001920515.1,GCA_001920515.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001914545.1,GCA_001914545.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005877575.1,GCA_005877575.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005877605.1,GCA_005877605.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001914955.1,GCA_001914955.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001918075.1,GCA_001918075.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_002790775.1,GCA_002790775.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002780895.1,GCA_002780895.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002785245.1,GCA_002785245.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002782165.1,GCA_002782165.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_009993295.1,GCA_009993295.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002787195.1,GCA_002787195.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_001873265.1,GCA_001873265.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_005793845.1,GCA_005793845.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_005788665.1,GCA_005788665.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_013521025.1,GCA_013521025.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_005798745.1,GCA_005798745.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_003569385.1,GCA_003569385.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_002737345.1,GCA_002737345.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_014192195.1,GCA_014192195.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_002473245.1,GCA_002473245.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
