genome_id,original_genome_id,source,organism,genus,species,strain,closest_placement_reference,Taxonomy,Genome size (bp),%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,classification
ANG_387,Ktedonobacter_ANG_387,custom,,,,,,Chloroflexi,5700739.0,49.75,92.74,3.96,High,Angelo,2014.0,Meadow grassland,14_0903_05_20cm,20.0,85.0,18.0,62.0,99.0,161.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CF-154;s__CF-154 sp005879655
ANG_2,Streptosporangiales_ANG_2,custom,,,,,,Actinobacteria,8585649.0,69.3,94.31,4.46,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_40_16,40.0,48.0,30.0,86.0,20.0,106.0,neither,neither,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-506;s__
gp1_AA117,Angelobacter_gp1_AA117,custom,,,,,,Acidobacteria,6493111.0,54.75,99.79,3.47,High,Angelo,2014.0,Meadow grassland,14_0903_12_40cm,40.0,29.0,26.0,83.0,17.0,100.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA117;g__Gp1-AA17;s__Gp1-AA17 sp003223515
ANG_9682,Micromonosporales_ANG_9682,custom,,,,,,Actinobacteria,6769019.0,71.65,99.21,1.75,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,26.0,24.0,45.0,33.0,78.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__AC-43;s__AC-43 sp005885555
ANG_3,Pseudonocardiales_ANG_3,custom,,,,,,Actinobacteria,7887570.0,68.31,91.44,4.85,High,Sagehorn,2016.0,Garry oak,Sage2_R_80_16,80.0,41.0,23.0,41.0,19.0,60.0,shallow,tree,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__;s__
ANG_4,Streptosporangiales_ANG_4,custom,,,,,,Actinobacteria,6256590.0,69.83,94.07,4.19,High,Sagehorn,2016.0,Garry oak,Sage2_L_40_16,40.0,31.0,23.0,39.0,13.0,52.0,neither,tree,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__
ANG_5,Micromonosporales_ANG_5,custom,,,,,,Actinobacteria,6816882.0,70.42,98.51,0.39,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,22.0,18.0,26.0,23.0,49.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__AC-43;s__
ANG_6,Streptosporangiales_ANG_6,custom,,,,,,Actinobacteria,6455598.0,67.67,96.98,2.14,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,28.0,22.0,18.0,24.0,42.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__
ANG_7,Acidobacteria_gp1_ANG_7,custom,,,,,,Acidobacteria,7077726.0,55.78,98.29,2.85,High,Sagehorn,2016.0,Garry oak,Sage2_R_60_16,60.0,15.0,12.0,22.0,17.0,39.0,shallow,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA117;g__Gp1-AA17;s__
ANG_814,Acidobacteria_ANG_814,custom,,,,,,Acidobacteria,6534906.0,54.64,96.1,3.85,High,Rivendell,2016.0,Madrone,Mad1_60_16,60.0,13.0,12.0,24.0,9.0,33.0,shallow,neither,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__
ANG_10,Geodermatophilales_ANG_10,custom,,,,,,Actinobacteria,6644938.0,72.18,93.95,2.11,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,24.0,21.0,3.0,19.0,22.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CADCTP01;g__;s__
ANG_11,Acidobacteria_gp5_ANG_11,custom,,,,,,Acidobacteria,8998044.0,56.95,93.16,4.06,High,Rivendell,2016.0,Madrone,Mad1_100_16,100.0,22.0,10.0,6.0,16.0,22.0,shallow,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__20CM-2-55-15;f__20CM-2-55-15;g__20CM-2-55-15;s__
ANG_10208,Eisenbacteria_ANG_10208,custom,,,,,,Eisenbacteria,3096137.0,68.52,90.66,1.1,High,Angelo,2014.0,Meadow grassland,14_1009_16_40cm,40.0,6.0,6.0,20.0,2.0,22.0,neither,neither,"Diamond et al., 2019 (as ""RBG_16_RIF_WS3X_71_46_curated"")",d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-8;s__WS-8 sp005893295
ANG_13,Streptosporangiales_ANG_13,custom,,,,,,Actinobacteria,5472183.0,68.66,97.59,0.8,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,14.0,13.0,12.0,8.0,20.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__
ANG_16,Geodermatophilales_ANG_16,custom,,,,,,Actinobacteria,6293038.0,72.57,93.77,1.75,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,12.0,12.0,12.0,6.0,18.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CADCTP01;g__;s__
ANG_17,Sphingobacteriales_ANG_17,custom,,,,,,Bacteroidetes,7346937.0,49.31,99.01,1.23,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,10.0,9.0,9.0,8.0,17.0,neither,tree,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__
unk_AA32,Acidobacteria_unk_AA32,custom,,,,,,Acidobacteria,5414709.0,70.94,91.36,4.27,High,Angelo,2014.0,Meadow grassland,14_1009_16_40cm,40.0,6.0,6.0,8.0,9.0,17.0,deep,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__AA32;s__AA32 sp003223555
ANG_20,Sphingobacteriales_ANG_20,custom,,,,,,Bacteroidetes,7506875.0,48.73,97.91,3.2,High,Rivendell,2013.0,Douglas fir,2013_100cm,100.0,7.0,7.0,12.0,4.0,16.0,neither,neither,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__
ANG_23,Acidobacteria_gp5_ANG_23,custom,,,,,,Acidobacteria,6055848.0,69.86,95.73,4.33,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,9.0,7.0,0.0,15.0,15.0,deep,grassland,,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__AA32;s__AA32 sp003222275
gp7_AA8,Acidobacteria_gp7_AA8,custom,,,,,,Acidobacteria,6382978.0,63.61,99.15,3.42,High,Angelo,2014.0,Meadow grassland,14_0903_02_30cm,30.0,7.0,7.0,13.0,2.0,15.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__QHVT01 sp003223645
ANG_24,Actinobacteria_ANG_24,custom,,,,,,Actinobacteria,6984985.0,72.39,99.15,1.88,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,12.0,10.0,5.0,9.0,14.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__UBA4738;o__AC-67;f__;g__;s__
gp4_AA24,Acidobacteria_gp4_AA24,custom,,,,,,Acidobacteria,4805763.0,54.35,93.75,2.56,High,Angelo,2014.0,Meadow grassland,14_0927_12_20cm,20.0,8.0,5.0,12.0,2.0,14.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__UBA11740 sp003222895
ANG_25,Acidobacteria_ANG_25,custom,,,,,,Acidobacteria,7692503.0,52.52,96.58,4.27,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,5.0,5.0,14.0,0.0,14.0,neither,grassland,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
ANG_30,Streptosporangiales_ANG_30,custom,,,,,,Actinobacteria,8595920.0,69.29,97.33,3.25,High,Rivendell,2015.0,Douglas fir,15con2h3_4B,120.0,13.0,10.0,1.0,11.0,12.0,deep,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__
ANG_32,Chloroflexi_ANG_32,custom,,,,,,Chloroflexi,8475521.0,64.54,92.59,3.08,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,9.0,6.0,9.0,3.0,12.0,neither,tree,,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__
ANG_33,Gemmatimonadetes_ANG_33,custom,,,,,,Gemmatimonadetes,4201193.0,64.93,97.8,3.3,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,4.0,4.0,12.0,0.0,12.0,neither,neither,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__AG11 sp002215645
ANG_34,Streptosporangiales_ANG_34,custom,,,,,,Actinobacteria,8175529.0,71.57,98.4,1.87,High,Sagehorn,2016.0,Garry oak,Sage2_R_100_16,100.0,10.0,10.0,5.0,6.0,11.0,neither,neither,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__
ANG_38,Acidobacteria_ANG_38,custom,,,,,,Acidobacteria,5290685.0,55.71,95.73,0.85,High,Sagehorn,2016.0,Garry oak,Sage2_L_60_16,60.0,5.0,5.0,11.0,0.0,11.0,deep,neither,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
ANG_36,Solirubrobacterales_ANG_36,custom,,,,,,Actinobacteria,2509803.0,67.69,97.84,0.86,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,7.0,4.0,1.0,10.0,11.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__;s__
ANG_37,Acidobacteria_ANG_37,custom,,,,,,Acidobacteria,7168874.0,51.54,91.4,4.32,High,Rivendell,2016.0,Madrone,Mad1_40_16,40.0,6.0,1.0,11.0,0.0,11.0,neither,neither,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
ANG_40,Acidobacteria_ANG_40,custom,,,,,,Acidobacteria,5125931.0,57.04,90.12,4.32,High,Rivendell,2015.0,Douglas fir,15con2h3_4B,120.0,11.0,8.0,10.0,0.0,10.0,neither,neither,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__
