assembly_level,checkm_completeness,checkm_contamination,genome_size,ncbi_bioproject,mimag_quality,source,genome_id,gtdb_taxonomy,total_bgcs,bgcs_on_contig_edge
Contig/Scaffold,90.22,3.41,7466539,PRJNA629478,HQ,genbank,GCA_016704525.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JAAFHV01;s__,8,1
Contig/Scaffold,91.16,3.53,9763740,PRJNA629478,HQ,genbank,GCA_016704445.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__SCUS01;s__,12,3
Contig/Scaffold,92.01,3.94,10084970,PRJNA629478,HQ,genbank,GCA_016704335.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__CAITIQ01;s__,16,2
Contig/Scaffold,92.37,3.39,7912503,PRJNA629478,HQ,genbank,GCA_016704065.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,11,5
Contig/Scaffold,95.48,4.84,9757120,PRJNA629478,HQ,genbank,GCA_016703535.1,d__Bacteria;p__Myxococcota;c__WYAZ01;o__WYAZ01;f__WYAZ01;g__;s__,13,0
Contig/Scaffold,90.48,3.25,9023203,PRJNA629478,HQ,genbank,GCA_016703425.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__,18,0
Contig/Scaffold,93.66,3.41,7691735,PRJNA629478,HQ,genbank,GCA_016702865.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,12,5
Contig/Scaffold,94.39,3.87,5135008,PRJNA629478,HQ,genbank,GCA_016702545.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__GCA-2747355;f__GCA-2747355;g__;s__,11,1
Contig/Scaffold,95.61,1.13,9612643,PRJNA629478,HQ,genbank,GCA_016709225.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__,20,0
Contig/Scaffold,94.98,2.55,10173296,PRJNA629478,HQ,genbank,GCA_016708565.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,12,2
Contig/Scaffold,91.15,1.85,8701471,PRJNA629478,HQ,genbank,GCA_016708475.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__SCUS01;s__SCUS01 sp004297725,11,3
Contig/Scaffold,97.2,4.7,8017645,PRJNA629478,HQ,genbank,GCA_016708135.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,10,3
Contig/Scaffold,97.72,2.76,9739973,PRJNA629478,HQ,genbank,GCA_016707895.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,10,2
Contig/Scaffold,91.74,4.54,7779645,PRJNA629478,HQ,genbank,GCA_016706815.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__;g__;s__,18,8
Contig/Scaffold,95.27,2.76,7855595,PRJNA629478,HQ,genbank,GCA_016706685.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,10,3
Contig/Scaffold,90.79,1.31,8558619,PRJNA629478,HQ,genbank,GCA_016706545.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,16,5
Contig/Scaffold,94.62,3.87,9628654,PRJNA629478,HQ,genbank,GCA_016706225.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__,7,0
Contig/Scaffold,91.61,4.68,9539105,PRJNA629478,HQ,genbank,GCA_016709545.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__;g__;s__,12,1
Contig/Scaffold,91.06,4.19,9083132,PRJNA629478,HQ,genbank,GCA_016714285.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__,17,0
Contig/Scaffold,92.87,3.62,10134479,PRJNA629478,HQ,genbank,GCA_016714225.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__;s__,23,3
