BGC,Accession ID,Description,Product Prediction,BiG-SCAPE class,Organism,Taxonomy,genome_id,group
BBCX01000006.1.region001,BBCX01000006.1,Thermodesulfovibrio aggregans strain JCM 13213,betalactone,Others,Thermodesulfovibrio aggregans,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio aggregans",GCA_001312085,NCBI
BDSY01000037.1.region001,BDSY01000037.1,Bacterium bms3abin06 strain BMS3Abin06,ranthipeptide,RiPPs,Bacterium bms3abin06,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3ABIN06,BMS3ABIN06 sp002897895",GCA_002897895,NCBI
BDSY01000065.1.region001,BDSY01000065.1,Bacterium bms3abin06 strain BMS3Abin06,ranthipeptide,RiPPs,Bacterium bms3abin06,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3ABIN06,BMS3ABIN06 sp002897895",GCA_002897895,NCBI
BDSZ01000026.1.region001,BDSZ01000026.1,Bacterium bms3abin07 strain BMS3Abin07,ladderane,Others,Bacterium bms3abin07,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,BMS3Bbin05 sp002897855",GCA_002897815,NCBI
BDSZ01000032.1.region001,BDSZ01000032.1,Bacterium bms3abin07 strain BMS3Abin07,NRPS-like,NRPS,Bacterium bms3abin07,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,BMS3Bbin05 sp002897855",GCA_002897815,NCBI
BDSZ01000042.1.region001,BDSZ01000042.1,Bacterium bms3abin07 strain BMS3Abin07,ladderane,Others,Bacterium bms3abin07,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,BMS3Bbin05 sp002897855",GCA_002897815,NCBI
BDTA01000096.1.region001,BDTA01000096.1,Bacterium bms3abin08 strain BMS3Abin08,ranthipeptide,RiPPs,Bacterium bms3abin08,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Abin08,BMS3Abin08 sp002897935",GCA_002897935,NCBI
BDTA01000122.1.region001,BDTA01000122.1,Bacterium bms3abin08 strain BMS3Abin08,ladderane,Others,Bacterium bms3abin08,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Abin08,BMS3Abin08 sp002897935",GCA_002897935,NCBI
BDTB01000167.1.region001,BDTB01000167.1,Bacterium bms3abin09 strain BMS3Abin09,ladderane,Others,Bacterium bms3abin09,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3Abin09,BMS3Abin09 sp002897915",GCA_002898055,NCBI
BDTC01000008.1.region001,BDTC01000008.1,Bacterium bms3abin10 strain BMS3Abin10,T1PKS.NRPS,PKS-NRP_Hybrids,Bacterium bms3abin10,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897755,NCBI
BDTC01000023.1.region001,BDTC01000023.1,Bacterium bms3abin10 strain BMS3Abin10,ladderane,Others,Bacterium bms3abin10,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897755,NCBI
BDTC01000035.1.region001,BDTC01000035.1,Bacterium bms3abin10 strain BMS3Abin10,T3PKS,PKSother,Bacterium bms3abin10,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897755,NCBI
BDTC01000064.1.region001,BDTC01000064.1,Bacterium bms3abin10 strain BMS3Abin10,ranthipeptide,RiPPs,Bacterium bms3abin10,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897755,NCBI
BDTO01000061.1.region001,BDTO01000061.1,Bacterium bms3bbin05 strain BMS3Bbin05,ladderane,Others,Bacterium bms3bbin05,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,BMS3Bbin05 sp002897855",GCA_002897855,NCBI
BDTO01000065.1.region001,BDTO01000065.1,Bacterium bms3bbin05 strain BMS3Bbin05,NRPS-like,NRPS,Bacterium bms3bbin05,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,BMS3Bbin05 sp002897855",GCA_002897855,NCBI
