user_genome	original_user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
54_67_14	14_0903_02_20cm_Proteobacteria_54_67_14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005878835	GCA_005878835.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005878835	99.99	1.0	GCA_005878835.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005878835	99.99	1.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005878095.1, s__13-2-20CM-66-19 sp005878095, 95.0, 94.1, 0.89; GCA_005877965.1, s__13-2-20CM-66-19 sp005877965, 95.0, 91.28, 0.85; GCA_001914695.1, s__13-2-20CM-66-19 sp001914695, 95.0, 84.07, 0.74; GCA_003136935.1, s__13-2-20CM-66-19 sp003136935, 95.0, 80.47, 0.55; GCA_005877705.1, s__13-2-20CM-66-19 sp005877705, 95.0, 80.11, 0.51; GCA_003156695.1, s__13-2-20CM-66-19 sp003156695, 95.0, 80.1, 0.51	95.79	11		
159_36_9	14_0903_02_30cm_Rickettsiella_grylli_159_36_9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Rickettsiella_A;s__Rickettsiella_A sp005877695	GCA_005877695.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Rickettsiella_A;s__Rickettsiella_A sp005877695	99.98	1.0	GCA_005877695.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Rickettsiella_A;s__Rickettsiella_A sp005877695	99.98	1.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Rickettsiella_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001881495.1, s__Rickettsiella_A isopodorum, 95.0, 81.59, 0.74; GCF_000168295.1, s__Rickettsiella_A grylli, 95.0, 78.36, 0.42; GCA_002290645.2, s__Rickettsiella_A sp002290645, 95.0, 78.27, 0.43	95.59	11		
157_38_13	14_0903_02_30cm_Sphingobacteriales_157_38_13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__VBAS01 sp005882315	GCA_005882315.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__VBAS01 sp005882315	100.0	1.0	GCA_005882315.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__VBAS01 sp005882315	100.0	1.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005882975.1, s__VBAS01 sp005882975, 95.0, 78.2, 0.25	96.72	11		
165_43_8	14_0903_02_30cm_Sphingobacteriales_165_43_8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAT01;s__VBAT01 sp005884665	GCA_005884665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAT01;s__VBAT01 sp005884665	100.0	1.0	GCA_005884665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAT01;s__VBAT01 sp005884665	100.0	1.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments		88.7	11		
156_68_15	14_0903_02_30cm_Sphingomonadales_156_68_15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella sp005883305	GCA_005883305.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella sp005883305	100.0	1.0	GCA_005883305.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella sp005883305	100.0	1.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_007995055.1, s__Allosphingosinicella ginsenosidimutans, 95.0, 80.63, 0.55; GCF_011320075.1, s__Allosphingosinicella sp011320075, 95.0, 80.61, 0.56; GCF_003347635.1, s__Allosphingosinicella sp003347635, 95.0, 80.33, 0.56; GCA_005882415.1, s__Allosphingosinicella sp005882415, 95.0, 80.0, 0.46; GCF_004564275.1, s__Allosphingosinicella sp004564275, 95.0, 79.83, 0.51; GCF_004151485.1, s__Allosphingosinicella sp004151485, 95.0, 79.63, 0.53; GCF_003129465.1, s__Allosphingosinicella humi, 95.0, 79.54, 0.45; GCF_900177405.1, s__Allosphingosinicella indica, 95.0, 79.48, 0.5; GCF_003012735.1, s__Allosphingosinicella sp003012735, 95.0, 79.21, 0.45; GCF_004135585.1, s__Allosphingosinicella sp004135585, 95.0, 79.17, 0.47; GCA_902806315.1, s__Allosphingosinicella sp902806315, 95.0, 79.13, 0.45; GCA_002344055.1, s__Allosphingosinicella sp002344055, 95.0, 78.99, 0.41; GCF_003012815.1, s__Allosphingosinicella vermicomposti, 95.0, 78.27, 0.39; GCA_013816585.1, s__Allosphingosinicella sp013816585, 95.0, 78.06, 0.35	97.0	11		
498_68_8	14_0903_05_40cm_Bacteria_498_68_8	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__CF-39;s__CF-39 sp005887995	GCA_005887995.1	95.0	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__CF-39;s__CF-39 sp005887995	99.25	0.89	GCA_005887995.1	95.0	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__CF-39;s__CF-39 sp005887995	99.25	0.89	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__CF-39;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005889405.1, s__CF-39 sp005889405, 95.0, 79.86, 0.48; GCA_005882255.1, s__CF-39 sp005882255, 95.0, 79.22, 0.51	82.87	11		
630_68_11	14_0903_09_20cm_Proteobacteria_630_68_11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp001914695	GCA_001914695.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp001914695	97.35	0.87	GCA_001914695.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp001914695	97.35	0.87	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005878835.1, s__13-2-20CM-66-19 sp005878835, 95.0, 84.72, 0.72; GCA_005878095.1, s__13-2-20CM-66-19 sp005878095, 95.0, 84.12, 0.75; GCA_005877965.1, s__13-2-20CM-66-19 sp005877965, 95.0, 83.68, 0.75; GCA_003136935.1, s__13-2-20CM-66-19 sp003136935, 95.0, 79.98, 0.5; GCA_005877705.1, s__13-2-20CM-66-19 sp005877705, 95.0, 79.52, 0.48; GCA_003156695.1, s__13-2-20CM-66-19 sp003156695, 95.0, 79.46, 0.48	95.65	11		
10591_68_7	14_0903_09_30cm_Actinobacteria_10591_68_7	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__VAYN01 sp005885405	GCA_005885405.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__VAYN01 sp005885405	100.0	1.0	GCA_005885405.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__VAYN01 sp005885405	100.0	1.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_013821475.1, s__VAYN01 sp013821475, 95.0, 83.98, 0.63	86.5	11		
894_72_7	14_0903_12_20cm_Actinobacteria_894_72_7	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__AC-35;s__AC-35 sp005884125	GCA_005884125.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__AC-35;s__AC-35 sp005884125	99.99	0.99	GCA_005884125.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__AC-35;s__AC-35 sp005884125	99.99	0.99	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments		85.82	11		
1059_67_7	14_0903_12_30cm_Betaproteobacteria_1059_67_7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp005883675	GCA_005883675.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp005883675	99.99	0.99	GCA_005883675.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp005883675	99.99	0.99	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005888925.1, s__SCGC-AG-212-J23 sp005888925, 95.0, 82.89, 0.7; GCA_001772055.1, s__SCGC-AG-212-J23 sp001772055, 95.0, 81.52, 0.66; GCA_001644455.1, s__SCGC-AG-212-J23 sp001644455, 95.0, 80.74, 0.61; GCA_005881595.1, s__SCGC-AG-212-J23 sp005881595, 95.0, 80.56, 0.56; GCA_004297625.1, s__SCGC-AG-212-J23 sp004297625, 95.0, 80.16, 0.53	89.46	11		
