,genome_id,source,organism,genus,species,strain,closest_placement_reference,Bin Id,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,contig count,Genome size (bp),ctg_N50,ctg_L50,ctg_N90,ctg_L90,ctg_max,gc_avg,gc_std,CDS,Completeness (%),Contamination (%),Relative abundance (%),5S-full,5S-partial,16S-full,16S-partial,23S-full,23S-partial,Circular,Taxa (GTDB),Genome,Phylum,# of Contigs,Length (bp),CheckM Completeness %,CheckM Contamination %,ncbi_mapping,Level,WGS,BioSample,Isolate,Taxonomy,original_genome_id,%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,classification,viewable,sample,name,sequences,location,basepairs,created_on,coordinates,attributes,material,biome,library,country,sequencing_method,sequence_type,feature,GC,GC std,Genome size,# ambiguous bases,# scaffolds,# contigs,Longest scaffold,Longest contig,N50 (scaffolds),N50 (contigs),Mean scaffold length,Mean contig length,Coding density,Translation table,# predicted genes,Chrs
0,bin3c.100,custom,,,,,,bin3c.100.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,11.0,250.0,2.0,0.0,0.0,0.0,95.7,0.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bin3c.102,custom,,,,,,bin3c.102.contigs,o__Bacteroidales (UID2657),160.0,492.0,269.0,20.0,445.0,27.0,0.0,0.0,0.0,94.63,4.51,77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bin3c.103,custom,,,,,,bin3c.103.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,2.0,219.0,2.0,0.0,0.0,0.0,98.39,1.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bin3c.104,custom,,,,,,bin3c.104.contigs,o__Clostridiales (UID1226),155.0,278.0,158.0,7.0,269.0,2.0,0.0,0.0,0.0,97.78,0.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bin3c.105,custom,,,,,,bin3c.105.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,2.0,260.0,1.0,0.0,0.0,0.0,99.11,0.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bin3c.10610,custom,,,,,,bin3c.10610.contigs,k__Bacteria (UID2329),174.0,149.0,89.0,1.0,147.0,1.0,0.0,0.0,0.0,98.88,0.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bin3c.108,custom,,,,,,bin3c.108.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,9.0,252.0,2.0,0.0,0.0,0.0,94.63,1.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bin3c.109,custom,,,,,,bin3c.109.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,6.0,253.0,4.0,0.0,0.0,0.0,96.76,1.79,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bin3c.111,custom,,,,,,bin3c.111.contigs,k__Bacteria (UID2372),131.0,176.0,105.0,3.0,170.0,3.0,0.0,0.0,0.0,97.62,2.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bin3c.113,custom,,,,,,bin3c.113.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,1.0,220.0,2.0,0.0,0.0,0.0,99.19,1.08,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,bin3c.115,custom,,,,,,bin3c.115.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,5.0,252.0,6.0,0.0,0.0,0.0,97.32,4.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,bin3c.119,custom,,,,,,bin3c.119.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,4.0,255.0,4.0,0.0,0.0,0.0,98.27,2.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,bin3c.120,custom,,,,,,bin3c.120.contigs,o__Bacteroidales (UID2716),92.0,487.0,270.0,2.0,471.0,13.0,0.0,1.0,0.0,99.26,2.84,63.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,bin3c.122,custom,,,,,,bin3c.122.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,16.0,245.0,1.0,1.0,0.0,0.0,92.84,2.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,bin3c.123,custom,,,,,,bin3c.123.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,5.0,215.0,3.0,0.0,0.0,0.0,96.37,2.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,bin3c.124,custom,,,,,,bin3c.124.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,1.0,261.0,1.0,0.0,0.0,0.0,99.33,0.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,bin3c.125,custom,,,,,,bin3c.125.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,4.0,258.0,0.0,1.0,0.0,0.0,97.99,1.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,bin3c.126,custom,,,,,,bin3c.126.contigs,f__Lachnospiraceae (UID1286),57.0,420.0,207.0,5.0,406.0,9.0,0.0,0.0,0.0,98.19,3.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,bin3c.128,custom,,,,,,bin3c.128.contigs,o__Bacteroidales (UID2657),160.0,492.0,269.0,30.0,451.0,11.0,0.0,0.0,0.0,96.24,2.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,bin3c.133,custom,,,,,,bin3c.133.contigs,g__Prevotella (UID2724),55.0,567.0,296.0,6.0,553.0,8.0,0.0,0.0,0.0,98.31,2.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,bin3c.135,custom,,,,,,bin3c.135.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,6.0,257.0,0.0,0.0,0.0,0.0,96.98,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,bin3c.136,custom,,,,,,bin3c.136.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,4.0,250.0,9.0,0.0,0.0,0.0,97.76,4.19,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
