genome_id,source,Level,WGS,Chrs,BioSample,strain,organism,genus,species,closest_placement_reference
GCA_016722025.1,ncbi,Contig,JADKGZ000000000,undefined,SAMN16426458,Skiv_18-Q3-R9-52_BAT3C.106,Acidimicrobiaceae bacterium,Acidimicrobiaceae,bacterium,
GCA_016711835.1,ncbi,Contig,JADJSE000000000,undefined,SAMN16426049,Hade_18-Q3-R52-61_BATAC.47,Acidimicrobiaceae bacterium,Acidimicrobiaceae,bacterium,
GCA_016716005.1,ncbi,Contig,JADJXE000000000,undefined,SAMN16426187,Kalu_18-Q3-R12-55_MAXAC.061,Acidimicrobiales bacterium,Acidimicrobiales,bacterium,
GCA_016703285.1,ncbi,Contig,JADJCI000000000,undefined,SAMN16425609,Aved_18-Q3-R54-62_BATAC.345,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016703135.1,ncbi,Contig,JADJCQ000000000,undefined,SAMN16425618,Aved_18-Q3-R54-62_BATAC.601,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016702945.1,ncbi,Contig,JADJCZ000000000,undefined,SAMN16425627,Aved_18-Q3-R54-62_BATAC.851,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016700195.1,ncbi,Complete genome,undefined,1,SAMN16426208,Kalu_18-Q3-R12-55_MAXAC.198_cln,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016700175.1,ncbi,Complete genome,undefined,1,SAMN16426205,Kalu_18-Q3-R12-55_MAXAC.185_cln,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016700075.1,ncbi,Complete genome,undefined,1,SAMN16426192,Kalu_18-Q3-R12-55_MAXAC.078_cln,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016715865.1,ncbi,Contig,JADJXM000000000,undefined,SAMN16426197,Kalu_18-Q3-R12-55_MAXAC.123,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016716905.1,ncbi,Contig,JADJUS000000000,undefined,SAMN16426117,Hirt_18-Q3-R61-65_MAXAC.091,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016716715.1,ncbi,Contig,JADJVE000000000,undefined,SAMN16426131,Hjor_18-Q3-R7-51_BAT3C.167,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016716435.1,ncbi,Contig,JADJWI000000000,undefined,SAMN16426163,Kalu_18-Q3-R12-55_BAT3C.226,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016715115.1,ncbi,Contig,JADKBM000000000,undefined,SAMN16426311,Mari_18-Q3-R65-66_MAXAC.226,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016711965.1,ncbi,Contig,JADJRY000000000,undefined,SAMN16426043,Hade_18-Q3-R52-61_BATAC.287,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016712785.1,ncbi,Contig,JADJQL000000000,undefined,SAMN16426000,Fred_18-Q3-R57-64_MAXAC.250,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016712445.1,ncbi,Contig,JADJRB000000000,undefined,SAMN16426017,Fred_18-Q3-R57-64_MAXAC.362,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016713675.1,ncbi,Contig,JADJOS000000000,undefined,SAMN16425952,Fred_18-Q3-R57-64_BAT3C.705,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016718135.1,ncbi,Contig,JADKEF000000000,undefined,SAMN16426383,OdNW_18-Q3-R42-56_MAXAC.155,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016717465.1,ncbi,Contig,JADKFO000000000,undefined,SAMN16426419,Rand_18-Q3-R56-63_MAXAC.181,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016710075.1,ncbi,Contig,JADJLO000000000,undefined,SAMN16425858,EsbW_18-Q3-R4-48_BAT3C.194,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016709645.1,ncbi,Contig,JADJMK000000000,undefined,SAMN16425881,EsbW_18-Q3-R4-48_BATAC.318,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016703965.1,ncbi,Contig,JADJBB000000000,undefined,SAMN16425573,AalW_18-Q3-R10-53_MAXAC.144,Acidobacteria bacterium,Acidobacteria,bacterium,
GCA_016717115.1,ncbi,Contig,JADKGE000000000,undefined,SAMN16426435,Ribe_18-Q3-R11-54_BATAC.412,Actinobacteria bacterium,Actinobacteria,bacterium,
GCA_016700055.1,ncbi,Complete genome,undefined,1,SAMN16426185,Kalu_18-Q3-R12-55_MAXAC.049_cln,Actinobacteria bacterium,Actinobacteria,bacterium,
GCA_016703525.1,ncbi,Contig,JADJBW000000000,undefined,SAMN16425597,Aved_18-Q3-R54-62_BAT3C.633,Actinobacteria bacterium,Actinobacteria,bacterium,
GCA_016717165.1,ncbi,Contig,JADKGA000000000,undefined,SAMN16426431,Ribe_18-Q3-R11-54_BAT3C.65,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016715285.1,ncbi,Contig,JADKAO000000000,undefined,SAMN16426287,Mari_18-Q3-R65-66_BAT3C.41,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016722305.1,ncbi,Contig,JADKGK000000000,undefined,SAMN16426442,Ribe_18-Q3-R11-54_MAXAC.001,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016705565.1,ncbi,Contig,JADIXZ000000000,undefined,SAMN16425491,AalE_18-Q3-R2-46_BAT3C.188,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016704565.1,ncbi,Contig,JADIZV000000000,undefined,SAMN16425541,AalW_18-Q3-R10-53_BAT3C.524,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016709925.1,ncbi,Contig,JADJLW000000000,undefined,SAMN16425866,EsbW_18-Q3-R4-48_BAT3C.295,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016711095.1,ncbi,Contig,JADJTP000000000,undefined,SAMN16426087,Hirt_18-Q3-R61-65_BAT3C.386,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016710645.1,ncbi,Contig,JADJVI000000000,undefined,SAMN16426135,Hjor_18-Q3-R7-51_BAT3C.81_sub,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016710385.1,ncbi,Contig,JADJVX000000000,undefined,SAMN16426150,Hjor_18-Q3-R7-51_MAXAC.088,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016708855.1,ncbi,Contig,JADJEW000000000,undefined,SAMN16425678,Bjer_18-Q3-R1-45_BAT3C.93,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016707175.1,ncbi,Contig,JADJIB000000000,undefined,SAMN16425764,Ega_18-Q3-R5-49_MAXAC.001,Actinomycetales bacterium,Actinomycetales,bacterium,
GCA_016712105.1,ncbi,Contig,JADJRU000000000,undefined,SAMN16426039,Hade_18-Q3-R52-61_BATAC.200,Ahniella sp.,Ahniella,sp.,
GCA_016722515.1,ncbi,Contig,JADKJE000000000,undefined,SAMN16426516,Skiv_18-Q3-R9-52_MAXAC.332,Alphaproteobacteria bacterium,Alphaproteobacteria,bacterium,
GCA_016717845.1,ncbi,Contig,JADKES000000000,undefined,SAMN16426397,Rand_18-Q3-R56-63_BAT3C.341,Alphaproteobacteria bacterium,Alphaproteobacteria,bacterium,
GCA_016699305.1,ncbi,Complete genome,undefined,1,SAMN16425809,Ejby_18-Q3-R6-50_MAXAC.200_cln,Alphaproteobacteria bacterium,Alphaproteobacteria,bacterium,
GCA_016702325.1,ncbi,Contig,JADJED000000000,undefined,SAMN16425657,Aved_18-Q3-R54-62_MAXAC.392,Alphaproteobacteria bacterium,Alphaproteobacteria,bacterium,
GCA_016699735.1,ncbi,Complete genome,undefined,1,SAMN16426270,Lyne_18-Q3-R50-59_MAXAC.325_cln,Alphaproteobacteria bacterium,Alphaproteobacteria,bacterium,
GCA_016713825.1,ncbi,Contig,JADJOJ000000000,undefined,SAMN16425941,Fred_18-Q3-R57-64_BAT3C.445,Anaerolineaceae bacterium,Anaerolineaceae,bacterium,
GCA_016710325.1,ncbi,Contig,JADJXK000000000,undefined,SAMN16426195,Kalu_18-Q3-R12-55_MAXAC.106v2,Anaerolineaceae bacterium,Anaerolineaceae,bacterium,
GCA_016707735.1,ncbi,Contig,JADJHC000000000,undefined,SAMN16425738,Damh_18-Q3-R51-60_MAXAC.106,Anaerolineae bacterium,Anaerolineae,bacterium,
GCA_016704685.1,ncbi,Contig,JADIZS000000000,undefined,SAMN16425536,AalW_18-Q3-R10-53_BAT3C.371_sub,Anaerolineae bacterium,Anaerolineae,bacterium,
GCA_016714465.1,ncbi,Contig,JADKDT000000000,undefined,SAMN16426371,OdNW_18-Q3-R42-56_BATAC.48,Anaerolineae bacterium,Anaerolineae,bacterium,
