bgc_id,GCF,class,genome_id,contig,start,end,product,contig_edge
BGC0000001.1,0;1336,PKSI,NA,NA,NA,NA,NA,NA
BGC0000002.1,1;1752;1421;1119,Others,NA,NA,NA,NA,NA,NA
BGC0000003.1,2;1183,PKSI,NA,NA,NA,NA,NA,NA
BGC0000004.1,8;5,PKSI,NA,NA,NA,NA,NA,NA
BGC0000005.1,9,Others,NA,NA,NA,NA,NA,NA
BGC0000006.1,8;5,PKSI,NA,NA,NA,NA,NA,NA
BGC0000007.1,8;5,PKSI,NA,NA,NA,NA,NA,NA
BGC0000008.1,8;5,PKSI,NA,NA,NA,NA,NA,NA
BGC0000009.1,8;5,PKSI,NA,NA,NA,NA,NA,NA
BGC0000010.1,9,Others,NA,NA,NA,NA,NA,NA
BGC0000011.1,10;5,PKSI,NA,NA,NA,NA,NA,NA
BGC0000012.1,11;1736,PKSI,NA,NA,NA,NA,NA,NA
BGC0000013.1,12;148,PKSI,NA,NA,NA,NA,NA,NA
BGC0000014.1,13;1644;1016;941,PKS-NRP_Hybrids,NA,NA,NA,NA,NA,NA
BGC0000016.1,14;1420,Others,NA,NA,NA,NA,NA,NA
BGC0000017.1,15;122,PKSI,NA,NA,NA,NA,NA,NA
BGC0000018.1,16;158,PKSI,NA,NA,NA,NA,NA,NA
BGC0000019.1,17;1904,Others,NA,NA,NA,NA,NA,NA
BGC0000020.1,1409;1883,PKS-NRP_Hybrids,NA,NA,NA,NA,NA,NA
BGC0000021.1,19;1903,PKSI,NA,NA,NA,NA,NA,NA
BGC0000022.1,20;1308,PKSI,NA,NA,NA,NA,NA,NA
BGC0000023.1,21;158,PKSI,NA,NA,NA,NA,NA,NA
BGC0000024.1,22;158,PKSI,NA,NA,NA,NA,NA,NA
BGC0000025.1,23;1904,Others,NA,NA,NA,NA,NA,NA
BGC0000026.1,24;113;1904;1312;1354,Others,NA,NA,NA,NA,NA,NA
BGC0000027.1,25;1308,PKSI,NA,NA,NA,NA,NA,NA
BGC0000028.1,26;1435,PKSI,NA,NA,NA,NA,NA,NA
BGC0000029.1,1262;91,PKSI,NA,NA,NA,NA,NA,NA
