user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_016699045.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__											d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	taxonomic novelty determined using RED			80.41	11	0.748868223	
GCA_016699065.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas aalborgensis	GCF_000392435.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas aalborgensis	98.98	0.98	GCF_000392435.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas aalborgensis	98.98	0.98	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002299795.1, s__Saccharimonas sp002299795, 95.0, 78.49, 0.14; GCF_010202265.1, s__Saccharimonas sp010202265, 95.0, 78.0, 0.1; GCA_002337095.1, s__Saccharimonas sp002337095, 95.0, 77.36, 0.06; GCA_013333675.2, s__Saccharimonas sp013333675, 95.0, 77.08, 0.06; GCA_002441145.1, s__Saccharimonas sp002441145, 95.0, 77.02, 0.09; GCA_013333645.2, s__Saccharimonas sp013333645, 95.0, 76.94, 0.05; GCA_002421785.1, s__Saccharimonas sp002421785, 95.0, 76.85, 0.13; GCA_002336935.1, s__Saccharimonas sp002336935, 95.0, 76.8, 0.09; GCA_013333625.2, s__Saccharimonas sp013333625, 95.0, 76.72, 0.08; GCA_013333795.2, s__Saccharimonas sp013333795, 95.0, 76.25, 0.05; GCA_002336735.1, s__Saccharimonas sp002336735, 95.0, 75.61, 0.05; GCA_013333845.2, s__Saccharimonas sp013333845, 95.0, 75.6, 0.09	69.37	11		
GCA_016699085.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__											d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	taxonomic classification fully defined by topology			69.66	11	0.788933636	
GCA_016699105.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__UBA5169;s__						GCA_002429485.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__UBA5169;s__UBA5169 sp002429485	77.01	0.05	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__;s__	taxonomic classification defined by topology and ANI			63.83	11	0.871057168	
GCA_016699125.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__						GCA_003963225.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__AWTP1-30 sp003963225	78.19	0.09	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	taxonomic classification defined by topology and ANI			78.1	11	0.89499475	
GCA_016699145.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__2-02-FULL-48-14;g__2-02-FULL-48-14;s__						GCA_001787475.1	95.0	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__2-02-FULL-48-14;g__2-02-FULL-48-14;s__2-02-FULL-48-14 sp001787475	77.99	0.16	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UBA1369;f__;g__;s__	taxonomic classification defined by topology and ANI			76.93	11	0.85835245	
GCA_016699165.1	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__											d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__	taxonomic classification fully defined by topology			92.4	11	0.81278348	
GCA_016699185.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__						GCA_003963225.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__AWTP1-30 sp003963225	78.02	0.09	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	taxonomic classification defined by topology and ANI			76.99	11	0.895129455	
GCA_016699205.1	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__CAIXDN01;s__						GCA_903918235.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__CAIXDN01;s__CAIXDN01 sp903918235	78.21	0.37	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__;s__	taxonomic classification defined by topology and ANI			69.33	11	0.952322809	
GCA_016699225.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__						GCA_003963225.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__AWTP1-30 sp003963225	78.22	0.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	taxonomic classification defined by topology and ANI			74.53	11	0.894984942	
GCA_016699245.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__1-14-0-10-47-16;s__						GCA_002773395.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__1-14-0-10-47-16;s__1-14-0-10-47-16 sp002773395	77.68	0.06	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__;s__	taxonomic classification defined by topology and ANI			67.58	11	0.882811254	
GCA_016699265.1	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__;s__						GCA_001789965.1	95.0	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__2-01-FULL-40-42;s__2-01-FULL-40-42 sp001789965	78.48	0.03	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__;s__	taxonomic classification defined by topology and ANI			55.97	11	0.801026788	
GCA_016699285.1	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	GCF_001753675.2	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	96.3	0.91	GCF_001753675.2	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	96.3	0.91	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_007618135.1, s__Brocadia sp007618135, 95.0, 80.57, 0.58; GCA_000987375.1, s__Brocadia fulgida, 95.0, 80.21, 0.55; GCA_002009475.1, s__Brocadia caroliniensis, 95.0, 79.74, 0.53; GCF_000949635.1, s__Brocadia sinica, 95.0, 78.5, 0.37; GCA_013360945.1, s__Brocadia sp013360945, 95.0, 78.49, 0.39; GCA_011525665.1, s__Brocadia sp011525665, 95.0, 77.5, 0.3	85.45	11		
GCA_016699305.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__;g__;s__											d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic novelty determined using RED			92.99	11	0.646882444	
GCA_016699365.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__											d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__;s__	taxonomic classification fully defined by topology			69.47	11	0.790626131	
GCA_016699385.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__											d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__	taxonomic novelty determined using RED			75.26	11	0.744779726	
