genome_id,isolate,gtdb202_tax,n_bgcs,n_contigs,total_bp,longest_contig_bp,mean_contig_bp,completeness,contamination,circular,strain_heter0geneity,drep_95_cluster,drep_95_representative,drep_99_cluster
GCA_016722025.1,Skiv_18-Q3-R9-52_BAT3C.106,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395,NA,28,4382042,647014,156501.5,94.59,1.28,TRUE,0,534_1,TRUE,534_2
GCA_016711835.1,Hade_18-Q3-R52-61_BATAC.47,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395,NA,22,4655402,1135107,211609.2,96.41,2.99,TRUE,0,534_1,TRUE,534_1
GCA_016716005.1,Kalu_18-Q3-R12-55_MAXAC.061,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__,6,9,3786270,3633663,420696.7,96.58,2.14,TRUE,0,462_0,TRUE,462_0
GCA_016715865.1,Kalu_18-Q3-R12-55_MAXAC.123,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,NA,37,5835500,626479,157716.2,91.45,4.27,TRUE,50,240_0,TRUE,240_0
GCA_016715115.1,Mari_18-Q3-R65-66_MAXAC.226,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__,NA,16,5677984,1683217,354874,96.58,2.61,TRUE,25,231_1,TRUE,231_3
GCA_016717465.1,Rand_18-Q3-R56-63_MAXAC.181,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,NA,50,5355134,506720,107102.7,92.02,2.56,TRUE,33.33,239_1,TRUE,239_2
GCA_016716905.1,Hirt_18-Q3-R61-65_MAXAC.091,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__SYFT01;s__,NA,22,5251049,1934998,238684,96.58,4.7,TRUE,14.29,452_0,TRUE,452_0
GCA_016716715.1,Hjor_18-Q3-R7-51_BAT3C.167,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__,NA,19,4261279,575806,224277.8,98.72,2.56,TRUE,33.33,434_0,TRUE,434_0
GCA_016716435.1,Kalu_18-Q3-R12-55_BAT3C.226,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,8,3805121,1386829,475640.1,95.73,4.75,TRUE,42.86,226_0,TRUE,226_0
GCA_016713675.1,Fred_18-Q3-R57-64_BAT3C.705,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,5,4128691,2841655,825738.2,95.73,3.04,TRUE,76.92,232_1,TRUE,232_1
GCA_016712785.1,Fred_18-Q3-R57-64_MAXAC.250,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__,NA,52,5527228,533661,106292.8,92.45,3.8,TRUE,75,231_1,TRUE,231_2
GCA_016712445.1,Fred_18-Q3-R57-64_MAXAC.362,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__,3,14,3988027,2515904,284859.1,99.68,0,TRUE,0,425_0,TRUE,425_0
GCA_016718135.1,OdNW_18-Q3-R42-56_MAXAC.155,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,20,3913344,774513,195667.2,95.73,2.56,TRUE,50,235_1,TRUE,235_2
GCA_016711965.1,Hade_18-Q3-R52-61_BATAC.287,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,NA,38,5710942,701691,150288,93.56,4.27,TRUE,20,239_1,TRUE,239_1
GCA_016710075.1,EsbW_18-Q3-R4-48_BAT3C.194,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,NA,45,5949241,680284,132205.4,92.08,1.71,TRUE,0,239_1,TRUE,239_3
GCA_016709645.1,EsbW_18-Q3-R4-48_BATAC.318,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__,NA,46,5938608,674764,129100.2,91.03,3.47,TRUE,14.29,231_1,TRUE,231_1
GCA_016703965.1,AalW_18-Q3-R10-53_MAXAC.144,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,30,5079012,2161343,169300.4,94.02,2.56,TRUE,0,233_0,TRUE,233_0
GCA_016703285.1,Aved_18-Q3-R54-62_BATAC.345,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,25,4274637,1000814,170985.5,92.31,3.85,TRUE,83.33,235_1,TRUE,235_1
GCA_016703135.1,Aved_18-Q3-R54-62_BATAC.601,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,15,3961352,1273060,264090.1,91.88,2.56,TRUE,0,232_1,TRUE,232_1
GCA_016702945.1,Aved_18-Q3-R54-62_BATAC.851,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,NA,21,5688097,1146743,270861.8,94.02,2.56,TRUE,33.33,239_1,TRUE,239_4
GCA_016700195.1,Kalu_18-Q3-R12-55_MAXAC.198_cln,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,NA,1,6333691,6333691,6333691,95.73,3.42,TRUE,0,241_0,TRUE,241_0
GCA_016700175.1,Kalu_18-Q3-R12-55_MAXAC.185_cln,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QQUY01;s__,NA,1,4490879,4490879,4490879,97.44,0.9,TRUE,0,230_0,TRUE,230_0
GCA_016700075.1,Kalu_18-Q3-R12-55_MAXAC.078_cln,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,NA,1,3393545,3393545,3393545,95.73,1.71,TRUE,0,228_0,TRUE,228_0
GCA_016717115.1,Ribe_18-Q3-R11-54_BATAC.412,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA10649;s__,NA,20,3883847,897958,194192.3,91.07,0.53,TRUE,0,334_0,TRUE,334_0
GCA_016700055.1,Kalu_18-Q3-R12-55_MAXAC.049_cln,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__,NA,1,3299314,3299314,3299314,98.29,2.14,TRUE,0,461_0,TRUE,461_0
GCA_016703525.1,Aved_18-Q3-R54-62_BAT3C.633,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__UBA11034;s__,NA,34,4209001,755144,123794.1,93.16,1.28,TRUE,0,535_0,TRUE,535_0
GCA_016717165.1,Ribe_18-Q3-R11-54_BAT3C.65,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,4,3509479,1876599,877369.8,94.59,0.54,TRUE,0,548_0,TRUE,548_0
GCA_016715285.1,Mari_18-Q3-R65-66_BAT3C.41,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,12,3282635,685773,273552.9,96.22,2.16,TRUE,40,542_0,TRUE,542_0
GCA_016722305.1,Ribe_18-Q3-R11-54_MAXAC.001,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,29,3770120,804016,130004.1,94.05,3.82,TRUE,33.33,543_1,TRUE,543_3
GCA_016705565.1,AalE_18-Q3-R2-46_BAT3C.188,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,10,3441549,1352175,344154.9,91.8,1.08,TRUE,66.67,543_1,TRUE,543_1
GCA_016704565.1,AalW_18-Q3-R10-53_BAT3C.524,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,5,3605160,1389971,721032,95.36,0.81,TRUE,100,544_1,TRUE,544_1
GCA_016709925.1,EsbW_18-Q3-R4-48_BAT3C.295,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,20,3677074,920449,183853.7,91.95,4.95,TRUE,80,544_1,TRUE,544_3
GCA_016710385.1,Hjor_18-Q3-R7-51_MAXAC.088,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,28,3828964,1073305,136748.7,95.68,2.7,TRUE,66.67,541_0,TRUE,541_0
GCA_016710645.1,Hjor_18-Q3-R7-51_BAT3C.81_sub,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,61,3474448,232740,56958.2,95.18,0.96,TRUE,66.67,540_0,TRUE,540_0
GCA_016711095.1,Hirt_18-Q3-R61-65_BAT3C.386,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,3,2919710,1059261,973236.7,96.22,0,TRUE,0,545_0,TRUE,545_0
GCA_016708855.1,Bjer_18-Q3-R1-45_BAT3C.93,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,9,3560129,768742,395569.9,91.44,4.62,TRUE,92.86,544_1,TRUE,544_2
GCA_016707175.1,Ega_18-Q3-R5-49_MAXAC.001,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__,NA,21,3909549,973092,186169,97.52,1.35,TRUE,66.67,543_1,TRUE,543_2
GCA_016712105.1,Hade_18-Q3-R52-61_BATAC.200,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Ahniellaceae;g__Ahniella;s__,NA,55,4686952,581810,85217.3,91.66,2.33,TRUE,23.53,367_0,TRUE,367_0
GCA_016699305.1,Ejby_18-Q3-R6-50_MAXAC.200_cln,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__;g__;s__,NA,1,2060775,2060775,2060775,80.79,1.67,TRUE,16.67,31_0,TRUE,31_0
GCA_016702325.1,Aved_18-Q3-R54-62_MAXAC.392,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,NA,2,2838944,2770967,1419472,94.57,1.59,TRUE,0,30_1,TRUE,30_1
GCA_016699735.1,Lyne_18-Q3-R50-59_MAXAC.325_cln,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,NA,1,2743961,2743961,2743961,94.57,1.59,TRUE,0,30_1,TRUE,30_1
GCA_016722515.1,Skiv_18-Q3-R9-52_MAXAC.332,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__,NA,31,3294490,1038801,106273.9,100,2.2,TRUE,0,205_0,TRUE,205_0
GCA_016717845.1,Rand_18-Q3-R56-63_BAT3C.341,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,NA,4,2843755,1676713,710938.8,93.05,2.03,TRUE,0,30_2,TRUE,30_2
GCA_016713825.1,Fred_18-Q3-R57-64_BAT3C.445,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2699125;s__,NA,12,5432132,955917,452677.7,94.46,3.64,TRUE,0,210_0,TRUE,210_0
GCA_016710325.1,Kalu_18-Q3-R12-55_MAXAC.106v2,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2699125;s__,NA,2,8146679,5946219,4073339.5,97.27,4.73,TRUE,0,211_0,TRUE,211_0
GCA_016707735.1,Damh_18-Q3-R51-60_MAXAC.106,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__SSC4;g__SSC4;s__,NA,114,6404416,282841,56179.1,95.45,1.49,TRUE,83.33,455_1,TRUE,455_1
GCA_016704685.1,AalW_18-Q3-R10-53_BAT3C.371_sub,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__SSC4;g__SSC4;s__,NA,84,6250365,374952,74409.1,93.43,1.09,TRUE,50,455_1,TRUE,455_3
GCA_016714465.1,OdNW_18-Q3-R42-56_BATAC.48,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__J036;g__;s__,NA,28,4628329,561833,165297.5,91.03,0,TRUE,0,491_0,TRUE,491_0
