genome_id,bgc_id,contig,contig_edge,start,end,product,class,GCF_c0.3,GCF_c0.4,GCF_c0.5
GCA_016699045.1,CP064957.1.region001,CP064957,FALSE,266752,309236,NRPS-like,NRPS,1911,1911,1911
GCA_016699085.1,CP064958.1.region001,CP064958,FALSE,234633,256013,CDPS,Others,1912,1912,1912
GCA_016699105.1,CP064960.1.region001,CP064960,FALSE,19333,40071,hserlactone,Others,1913,1913,1913
GCA_016699105.1,CP064960.1.region002,CP064960,FALSE,185932,206682,terpene,Terpene,1914,1914,1914
GCA_016699165.1,CP064963.1.region001,CP064963,FALSE,129857,172563,NRPS-like,NRPS,1915,1915,1915
GCA_016699165.1,CP064963.1.region002,CP064963,FALSE,266632,275668,RiPP-like,RiPPs,1916,1916,1916
GCA_016699165.1,CP064963.1.region003,CP064963,FALSE,1530137,1613926,hglE-KS;resorcinol,Others,1917,1917,1917
GCA_016699165.1,CP064963.1.region004,CP064963,FALSE,3848044,3858911,RiPP-like,RiPPs,1918,1918,1918
GCA_016699165.1,CP064963.1.region005,CP064963,FALSE,4355365,4375638,RRE-containing,RiPPs,1919,1919,1919
GCA_016699205.1,CP064964.1.region001,CP064964,FALSE,22336,43173,terpene,Terpene,1920,1920,1920
GCA_016699245.1,CP064968.1.region001,CP064968,FALSE,638178,698802,acyl_amino_acids,Others,1922,1922,1922
GCA_016699265.1,CP064967.1.region001,CP064967,FALSE,469856,491955,LAP,RiPPs,1921,1921,1921
GCA_016699285.1,CP064969.1.region001,CP064969,FALSE,1211551,1252413,ladderane,Others,1923,1923,1923
GCA_016699285.1,CP064969.1.region002,CP064969,FALSE,2004388,2045600,ladderane,Others,1924,1924,1924
GCA_016699285.1,CP064969.1.region003,CP064969,FALSE,2416368,2438429,terpene,Terpene,1925,1925,1925
GCA_016699305.1,CP064970.1.region001,CP064970,FALSE,174794,195475,hserlactone,Others,1926,1926,1926
GCA_016699305.1,CP064970.1.region002,CP064970,FALSE,554842,574973,terpene,Terpene,1927,1927,1927
GCA_016699305.1,CP064970.1.region003,CP064970,FALSE,1465820,1487520,terpene,Terpene,1928,1928,1928
