study,genome_id,contig,complete,type,iterative,contig_edge,product,bgc_id,location_start,location_end,author
Bickhart_et_al_2022,bin3c.102,contig_10580,FALSE,pks,TRUE,FALSE,arylpolyene,contig_10580.region001,143697,144708,Bickhart
Bickhart_et_al_2022,bin3c.102,contig_10580,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_10580.region001,144787,144988,Bickhart
Bickhart_et_al_2022,bin3c.102,contig_10580,FALSE,pks,FALSE,FALSE,arylpolyene,contig_10580.region001,150318,150840,Bickhart
Bickhart_et_al_2022,bin3c.102,contig_9689,TRUE,nrps,FALSE,FALSE,NRPS,contig_9689.region001,1049803,1052782,Bickhart
Bickhart_et_al_2022,bin3c.102,contig_9689,FALSE,nrps,FALSE,FALSE,NRPS,contig_9689.region001,1053376,1055857,Bickhart
Bickhart_et_al_2022,bin3c.104,contig_73960,TRUE,nrps,FALSE,FALSE,NRPS,contig_73960.region001,57214,60259,Bickhart
Bickhart_et_al_2022,bin3c.104,contig_73960,TRUE,nrps,FALSE,FALSE,NRPS,contig_73960.region001,60331,63382,Bickhart
Bickhart_et_al_2022,bin3c.104,contig_73960,FALSE,nrps,FALSE,FALSE,NRPS,contig_73960.region001,67990,69259,Bickhart
Bickhart_et_al_2022,bin3c.104,contig_73960,FALSE,unknown,FALSE,FALSE,NRPS,contig_73960.region001,69596,69788,Bickhart
Bickhart_et_al_2022,bin3c.105,contig_2511,FALSE,nrps,FALSE,FALSE,betalactone,contig_2511.region002,238811,240113,Bickhart
Bickhart_et_al_2022,bin3c.105,contig_2511,FALSE,nrps,FALSE,FALSE,betalactone,contig_2511.region002,244018,245257,Bickhart
Bickhart_et_al_2022,bin3c.105,contig_2511,FALSE,nrps,FALSE,FALSE,betalactone,contig_2511.region002,246687,247917,Bickhart
Bickhart_et_al_2022,bin3c.108,contig_12759,FALSE,nrps,FALSE,FALSE,betalactone,contig_12759.region001,77486,78782,Bickhart
Bickhart_et_al_2022,bin3c.108,contig_3920,FALSE,unknown,FALSE,FALSE,RRE-containing,contig_3920.region002,373530,373734,Bickhart
Bickhart_et_al_2022,bin3c.109,contig_4504,FALSE,nrps,FALSE,FALSE,betalactone,contig_4504.region001,827839,829081,Bickhart
Bickhart_et_al_2022,bin3c.109,contig_4504,FALSE,nrps,FALSE,FALSE,betalactone,contig_4504.region001,831625,832867,Bickhart
Bickhart_et_al_2022,bin3c.109,contig_4504,FALSE,nrps,FALSE,FALSE,betalactone,contig_4504.region001,841177,842473,Bickhart
Bickhart_et_al_2022,bin3c.111,contig_10944,TRUE,nrps,FALSE,FALSE,NRPS,contig_10944.region001,21343,24382,Bickhart
Bickhart_et_al_2022,bin3c.111,contig_10944,TRUE,nrps,FALSE,FALSE,NRPS,contig_10944.region001,24439,27451,Bickhart
Bickhart_et_al_2022,bin3c.111,contig_10944,FALSE,nrps,FALSE,FALSE,NRPS,contig_10944.region001,32087,33353,Bickhart
Bickhart_et_al_2022,bin3c.111,contig_10944,FALSE,unknown,FALSE,FALSE,NRPS,contig_10944.region001,33695,33890,Bickhart
Bickhart_et_al_2022,bin3c.113,contig_243,FALSE,nrps,FALSE,FALSE,betalactone,contig_243.region001,1240165,1241467,Bickhart
Bickhart_et_al_2022,bin3c.114,contig_3270,FALSE,nrps,FALSE,FALSE,betalactone,contig_3270.region001,637178,638411,Bickhart
Bickhart_et_al_2022,bin3c.114,contig_3270,FALSE,nrps,FALSE,FALSE,betalactone,contig_3270.region001,639887,641126,Bickhart
Bickhart_et_al_2022,bin3c.114,contig_3270,FALSE,nrps,FALSE,FALSE,betalactone,contig_3270.region001,644905,646207,Bickhart
Bickhart_et_al_2022,bin3c.115,contig_50409,FALSE,unknown,FALSE,FALSE,NRPS,contig_50409.region001,384181,384370,Bickhart
Bickhart_et_al_2022,bin3c.115,contig_50409,FALSE,nrps,FALSE,FALSE,NRPS,contig_50409.region001,384731,386003,Bickhart
Bickhart_et_al_2022,bin3c.115,contig_50409,TRUE,nrps,FALSE,FALSE,NRPS,contig_50409.region001,390123,393258,Bickhart
Bickhart_et_al_2022,bin3c.115,contig_50409,TRUE,nrps,FALSE,FALSE,NRPS,contig_50409.region001,393327,396393,Bickhart
Bickhart_et_al_2022,bin3c.115,contig_78329,FALSE,nrps,FALSE,FALSE,betalactone,contig_78329.region001,160360,161656,Bickhart
Bickhart_et_al_2022,bin3c.117,contig_9471,FALSE,nrps,FALSE,FALSE,betalactone,contig_9471.region002,375649,376945,Bickhart
Bickhart_et_al_2022,bin3c.118,contig_9129,TRUE,nrps,FALSE,FALSE,NRPS-like,contig_9129.region001,357107,358808,Bickhart
Bickhart_et_al_2022,bin3c.118,contig_9129,FALSE,unknown,FALSE,FALSE,NRPS-like,contig_9129.region001,360185,360392,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,FALSE,FALSE,arylpolyene,contig_30414.region001,164532,165027,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,TRUE,FALSE,arylpolyene,contig_30414.region001,165531,166512,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_30414.region001,166532,166721,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,TRUE,FALSE,arylpolyene,contig_30414.region002,345293,346304,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,FALSE,FALSE,arylpolyene,contig_30414.region002,347370,347871,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,FALSE,FALSE,arylpolyene,contig_30414.region003,760077,760557,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_30414.region003,763381,763585,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_30414.region003,764102,764261,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,TRUE,FALSE,arylpolyene,contig_30414.region003,764796,765525,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_30414.region005,2846534,2846735,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,TRUE,FALSE,arylpolyene,contig_30414.region005,2846832,2848071,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,pks,TRUE,FALSE,arylpolyene,contig_30414.region005,2866260,2867235,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_30414,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_30414.region005,2867286,2867484,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_52351,FALSE,nrps,FALSE,TRUE,NRPS,contig_52351.region001,57143,58301,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_52351,FALSE,nrps,FALSE,TRUE,NRPS,contig_52351.region001,59028,59598,Bickhart
Bickhart_et_al_2022,bin3c.120,contig_52351,TRUE,nrps,FALSE,TRUE,NRPS,contig_52351.region001,59646,61170,Bickhart
Bickhart_et_al_2022,bin3c.121,contig_1200,FALSE,nrps,FALSE,FALSE,betalactone,contig_1200.region001,35347,36649,Bickhart
Bickhart_et_al_2022,bin3c.122,contig_16655,FALSE,nrps,FALSE,TRUE,RRE-containing,contig_16655.region001,11788,13096,Bickhart
Bickhart_et_al_2022,bin3c.122,scaffold_28942,FALSE,nrps,FALSE,FALSE,betalactone,scaffold_28942.region001,67469,68699,Bickhart
Bickhart_et_al_2022,bin3c.122,scaffold_28942,FALSE,nrps,FALSE,FALSE,betalactone,scaffold_28942.region001,70380,71619,Bickhart
Bickhart_et_al_2022,bin3c.122,scaffold_28942,FALSE,nrps,FALSE,FALSE,betalactone,scaffold_28942.region001,75529,76831,Bickhart
Bickhart_et_al_2022,bin3c.122,scaffold_28942,FALSE,pks,FALSE,FALSE,betalactone,scaffold_28942.region001,83224,84160,Bickhart
Bickhart_et_al_2022,bin3c.123,contig_11106,FALSE,nrps,FALSE,FALSE,betalactone,contig_11106.region001,1827285,1828581,Bickhart
Bickhart_et_al_2022,bin3c.127,contig_8397,FALSE,pks,TRUE,FALSE,arylpolyene,contig_8397.region001,289943,290468,Bickhart
Bickhart_et_al_2022,bin3c.127,contig_8397,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_8397.region001,290630,290831,Bickhart
Bickhart_et_al_2022,bin3c.127,contig_8397,FALSE,pks,FALSE,FALSE,arylpolyene,contig_8397.region001,296261,296780,Bickhart
Bickhart_et_al_2022,bin3c.128,contig_866,TRUE,nrps,FALSE,FALSE,NRPS-like,contig_866.region001,377959,379729,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_22766,TRUE,nrps,FALSE,FALSE,NRPS,contig_22766.region001,231647,234629,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_22766,TRUE,nrps,FALSE,FALSE,NRPS,contig_22766.region001,234671,237683,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_22766,FALSE,nrps,FALSE,FALSE,betalactone ranthipeptide,contig_22766.region003,1149321,1150617,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,FALSE,nrps,FALSE,FALSE,ranthipeptide,contig_652.region004,2240218,2240893,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,FALSE,unknown,FALSE,FALSE,ranthipeptide,contig_652.region005,2481276,2481573,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,FALSE,pks,FALSE,FALSE,betalactone,contig_652.region006,2867407,2867929,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,FALSE,nrps,FALSE,FALSE,betalactone,contig_652.region006,2868700,2869930,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,FALSE,nrps,FALSE,FALSE,NRPS-like,contig_652.region007,4070650,4071823,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,FALSE,unknown,FALSE,FALSE,NRPS-like,contig_652.region007,4072432,4072735,Bickhart
Bickhart_et_al_2022,bin3c.13,contig_652,TRUE,nrps,FALSE,FALSE,NRPS-like,contig_652.region007,4083663,4085472,Bickhart
Bickhart_et_al_2022,bin3c.130,contig_73838,FALSE,nrps,FALSE,FALSE,betalactone,contig_73838.region001,69366,70662,Bickhart
Bickhart_et_al_2022,bin3c.134,contig_35735,TRUE,nrps,FALSE,TRUE,NRPS-like,contig_35735.region001,10478,12347,Bickhart
Bickhart_et_al_2022,bin3c.134,contig_35735,FALSE,nrps,FALSE,TRUE,NRPS-like,contig_35735.region001,13995,14760,Bickhart
