genome_id,source,organism,genus,species,strain,closest_placement_reference,Genome,Phylum,# of Contigs,Length (bp),CheckM Completeness %,CheckM Contamination %,ncbi_mapping,Level,WGS,BioSample,Isolate,Taxonomy,bgcflow_project_name,Assigned Taxonomy,created_on,attributes,name,material,location,viewable,sequences,library,feature,basepairs,sequencing_method,country,sample,sequence_type,biome,coordinates,contig count,Genome size (bp),ctg_N50,ctg_L50,ctg_N90,ctg_L90,ctg_max,gc_avg,gc_std,CDS,Completeness (%),Contamination (%),Relative abundance (%),5S-full,5S-partial,16S-full,16S-partial,23S-full,23S-partial,Circular,Taxa (GTDB),original_genome_id,%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,Chrs
GCA_003223135.1,ncbi,,,,,,Acidobacteria_gp22_AA4,Acidobacteria,154.0,3747099.0,91.09,3.42,gp22 AA4,Scaffold,QHXX00000000,SAMN08912089,gp22 AA4,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225175.1,ncbi,,,,,,Acidobacteria_gp1_AA114,Acidobacteria,265.0,5828300.0,98.29,2.14,gp1 AA114,Scaffold,QIBA00000000,SAMN08912199,gp1 AA114,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225055.1,ncbi,,,,,,Acidobacteria_gp1_AA121,Acidobacteria,289.0,7479097.0,98.81,1.57,gp1 AA121,Scaffold,QIAU00000000,SAMN08912206,gp1 AA121,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225565.1,ncbi,,,,,,Acidobacteria_gp1_AA125,Acidobacteria,504.0,4271518.0,91.9,3.02,gp1 AA125,Scaffold,QIAQ00000000,SAMN08912210,gp1 AA125,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225075.1,ncbi,,,,,,Acidobacteria_gp1_AA126,Acidobacteria,250.0,4846260.0,97.17,4.56,gp1 AA126,Scaffold,QIAP00000000,SAMN08912211,gp1 AA126,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225005.1,ncbi,,,,,,Acidobacteria_gp1_AA128,Acidobacteria,544.0,7964278.0,98.84,4.27,gp1 AA128,Scaffold,QIAN00000000,SAMN08912213,gp1 AA128,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225465.1,ncbi,,,,,,Acidobacteria_gp1_AA134,Acidobacteria,534.0,6369190.0,95.87,3.68,gp1 AA134,Scaffold,QIAH00000000,SAMN08912219,gp1 AA134,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224975.1,ncbi,,,,,,Acidobacteria_gp1_AA135,Acidobacteria,543.0,6250957.0,96.79,2.14,gp1 AA135,Scaffold,QIAG00000000,SAMN08912220,gp1 AA135,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225455.1,ncbi,,,,,,Acidobacteria_gp1_AA140,Acidobacteria,193.0,5044374.0,94.44,3.85,gp1 AA140,Scaffold,QIAB00000000,SAMN08912225,gp1 AA140,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224905.1,ncbi,,,,,,Acidobacteria_gp1_AA141,Acidobacteria,300.0,5693849.0,96.84,3.52,gp1 AA141,Scaffold,QIAA00000000,SAMN08912226,gp1 AA141,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225365.1,ncbi,,,,,,Acidobacteria_gp13_AA74,Acidobacteria,415.0,5253747.0,95.03,4.56,gp13 AA74,Scaffold,QHZN00000000,SAMN08912159,gp13 AA74,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225315.1,ncbi,,,,,,Acidobacteria_gp2_AA100,Acidobacteria,57.0,4983911.0,94.66,1.71,gp2 AA100,Scaffold,QHZD00000000,SAMN08912185,gp2 AA100,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224525.1,ncbi,,,,,,Acidobacteria_gp2_AA102,Acidobacteria,473.0,6649346.0,92.31,3.42,gp2 AA102,Scaffold,QHZB00000000,SAMN08912187,gp2 AA102,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003225295.1,ncbi,,,,,,Acidobacteria_gp2_AA104,Acidobacteria,369.0,8206459.0,95.73,4.27,gp2 AA104,Scaffold,QHYZ00000000,SAMN08912189,gp2 AA104,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224475.1,ncbi,,,,,,Acidobacteria_gp2_AA106,Acidobacteria,471.0,8187649.0,95.66,2.56,gp2 AA106,Scaffold,QHYX00000000,SAMN08912191,gp2 AA106,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
