study,genome_id,contig,location,contig_edge,product,bgc_id,author,class,GCF_c0.3,GCF_c0.4,GCF_c0.5
Bickhart_et_al_2022,bin3c.100,contig_2083,[213950:234217],FALSE,RRE-containing,contig_2083.region001,Bickhart,RiPP,10524,10524,10524
Bickhart_et_al_2022,bin3c.100,contig_3491,[1137631:1158389],FALSE,cyclic-lactone-autoinducer,contig_3491.region001,Bickhart,RiPP,10799,10799,10799
Bickhart_et_al_2022,bin3c.100,contig_3491,[1582569:1600665],FALSE,RRE-containing,contig_3491.region002,Bickhart,RiPP,10800,10800,10800
Bickhart_et_al_2022,bin3c.100,contig_3491,[1675241:1696829],FALSE,ranthipeptide,contig_3491.region003,Bickhart,RiPP,10801,10801,10801
Bickhart_et_al_2022,bin3c.100,contig_3828,[221304:244790],FALSE,lassopeptide,contig_3828.region001,Bickhart,RiPP,10865,10865,10865
Bickhart_et_al_2022,bin3c.101,contig_69862,[69773:80586],FALSE,RiPP-like,contig_69862.region001,Bickhart,RiPP,11092,11092,11092
Bickhart_et_al_2022,bin3c.101,contig_69862,[271210:291471],FALSE,RRE-containing,contig_69862.region002,Bickhart,RiPP,11093,11093,11093
Bickhart_et_al_2022,bin3c.102,contig_10580,[123496:164717],FALSE,arylpolyene,contig_10580.region001,Bickhart,Other,10374,10329,10329
Bickhart_et_al_2022,bin3c.102,contig_9689,[1028591:1075863],FALSE,NRPS,contig_9689.region001,Bickhart,NRPS,11198,11198,11198
Bickhart_et_al_2022,bin3c.103,contig_3556,[985850:1006147],FALSE,RRE-containing,contig_3556.region001,Bickhart,RiPP,10817,10817,10817
Bickhart_et_al_2022,bin3c.104,contig_15480,[558687:580279],FALSE,ranthipeptide,contig_15480.region001,Bickhart,RiPP,10431,10431,10431
Bickhart_et_al_2022,bin3c.104,contig_24925,[154586:174946],FALSE,RRE-containing,contig_24925.region001,Bickhart,RiPP,10610,10610,10610
Bickhart_et_al_2022,bin3c.104,contig_73960,[37202:84546],FALSE,NRPS,contig_73960.region001,Bickhart,NRPS,11116,11116,11116
Bickhart_et_al_2022,bin3c.105,contig_2511,[77745:113312],FALSE,ranthipeptide,contig_2511.region001,Bickhart,RiPP,10617,10617,10617
Bickhart_et_al_2022,bin3c.105,contig_2511,[228469:258199],FALSE,betalactone,contig_2511.region002,Bickhart,Other,10618,10618,10364
Bickhart_et_al_2022,bin3c.107,contig_2922,[100891:121155],FALSE,RRE-containing,contig_2922.region001,Bickhart,RiPP,10696,10696,10696
Bickhart_et_al_2022,bin3c.107,contig_46614,[90622:112261],FALSE,ranthipeptide,contig_46614.region001,Bickhart,RiPP,10785,10785,10681
Bickhart_et_al_2022,bin3c.107,contig_46614,[214284:234551],FALSE,RRE-containing,contig_46614.region002,Bickhart,RiPP,10969,10969,10969
Bickhart_et_al_2022,bin3c.107,contig_50917,[100170:120449],FALSE,RRE-containing,contig_50917.region001,Bickhart,RiPP,10993,10993,10993
Bickhart_et_al_2022,bin3c.108,contig_12759,[65215:89106],FALSE,betalactone,contig_12759.region001,Bickhart,Other,10375,10375,10375
