bgc_id,GCF,genome_id,contig,start,end,product,contig_edge,class
BBCX01000006.1.region001,0;2815,GCA_001312085.1,BBCX01000006.1,103791,119963,betalactone,TRUE,Others
BDSY01000037.1.region001,2327,GCA_002897895.1,BDSY01000037.1,18239,39643,ranthipeptide,FALSE,RiPPs
BDSY01000065.1.region001,2326,GCA_002897895.1,BDSY01000065.1,0,18215,ranthipeptide,TRUE,RiPPs
BDSZ01000026.1.region001,13,GCA_002897815.1,BDSZ01000026.1,8603,49803,ladderane,FALSE,Others
BDSZ01000032.1.region001,14,GCA_002897815.1,BDSZ01000032.1,1097,43731,NRPS-like,FALSE,NRPS
BDSZ01000042.1.region001,5,GCA_002897815.1,BDSZ01000042.1,0,20604,ladderane,TRUE,Others
BDTA01000096.1.region001,16,GCA_002897935.1,BDTA01000096.1,18335,39755,ranthipeptide,FALSE,RiPPs
BDTA01000122.1.region001,15,GCA_002897935.1,BDTA01000122.1,47296,70788,ladderane,TRUE,Others
BDTB01000167.1.region001,8;2321,GCA_002898055.1,BDTB01000167.1,0,7268,ladderane,TRUE,Others
BDTC01000008.1.region001,9,GCA_002897755.1,BDTC01000008.1,0,21965,NRPS;T1PKS,TRUE,PKS-NRP_Hybrids
BDTC01000023.1.region001,19,GCA_002897755.1,BDTC01000023.1,0,28104,ladderane,TRUE,Others
BDTC01000035.1.region001,20,GCA_002897755.1,BDTC01000035.1,1741,42428,T3PKS,FALSE,PKSother
BDTC01000064.1.region001,12,GCA_002897755.1,BDTC01000064.1,9679,30991,ranthipeptide,FALSE,RiPPs
BDTO01000061.1.region001,13,GCA_002897855.1,BDTO01000061.1,8689,49889,ladderane,FALSE,Others
BDTO01000065.1.region001,14,GCA_002897855.1,BDTO01000065.1,0,28622,NRPS-like,TRUE,NRPS
BDTP01000068.1.region001,15,GCA_002897875.1,BDTP01000068.1,15461,39936,ladderane,TRUE,Others
BDTP01000072.1.region001,16,GCA_002897875.1,BDTP01000072.1,48678,70098,ranthipeptide,FALSE,RiPPs
BDTQ01000159.1.region001,2381;2328;2385,GCA_002898135.1,BDTQ01000159.1,0,5437,NRPS-like,TRUE,NRPS
BDTR01000014.1.region001,9,GCA_002897775.1,BDTR01000014.1,0,27282,T1PKS;NRPS,TRUE,PKS-NRP_Hybrids
BDTR01000029.1.region001,19,GCA_002897775.1,BDTR01000029.1,0,36506,ladderane,TRUE,Others
BDTR01000029.1.region002,20,GCA_002897775.1,BDTR01000029.1,72480,113167,T3PKS,FALSE,PKSother
BDTR01000051.1.region001,12,GCA_002897775.1,BDTR01000051.1,9709,31021,ranthipeptide,FALSE,RiPPs
BGOT01000001.1.region001,1938;2485,GCA_003569385.1,BGOT01000001.1,185640,227275,phosphonate,FALSE,Others
BGOT01000001.1.region002,2977;2490,GCA_003569385.1,BGOT01000001.1,299741,316823,terpene,FALSE,Terpene
BGOT01000001.1.region003,2511,GCA_003569385.1,BGOT01000001.1,497345,519526,terpene,FALSE,Terpene
BGOT01000003.1.region001,2482,GCA_003569385.1,BGOT01000003.1,123131,134991,RiPP-like,FALSE,RiPPs
BGOT01000010.1.region001,2486,GCA_003569385.1,BGOT01000010.1,17274,36495,terpene,TRUE,Terpene
BJHI01000001.1.region001,1938;2485,GCA_014192195.1,BJHI01000001.1,7876,49511,phosphonate,FALSE,Others
BJHI01000001.1.region002,2483,GCA_014192195.1,BJHI01000001.1,122228,139316,terpene,FALSE,Terpene
BJHI01000001.1.region003,2511,GCA_014192195.1,BJHI01000001.1,320327,341526,terpene,FALSE,Terpene
BJHI01000001.1.region004,2482,GCA_014192195.1,BJHI01000001.1,730779,742639,RiPP-like,FALSE,RiPPs
BJHI01000001.1.region005,2486,GCA_014192195.1,BJHI01000001.1,1492372,1513242,terpene,FALSE,Terpene
CAADGJ010000128.region001,2547,GCA_900696505.1,CAADGJ010000128,0,7170,RiPP-like,TRUE,RiPPs
CAADGJ010000145.region001,2559,GCA_900696505.1,CAADGJ010000145,2076,15597,terpene,TRUE,Terpene
CAADGJ010000216.region001,2557,GCA_900696505.1,CAADGJ010000216,0,8769,RiPP-like,TRUE,RiPPs
CAADGJ010000377.region001,2549,GCA_900696505.1,CAADGJ010000377,5635,23472,RRE-containing,TRUE,RiPPs
CAADGJ010000392.region001,2045,GCA_900696505.1,CAADGJ010000392,5047,15893,RiPP-like,FALSE,RiPPs
CAADGK010000016.region001,2422;2242,GCA_900696515.1,CAADGK010000016,7448,28168,hserlactone,FALSE,Others
CAADGK010000039.region001,2520;1949,GCA_900696515.1,CAADGK010000039,59243,80104,terpene,FALSE,Terpene
CAADGK010000050.region001,2045;3542;1950,GCA_900696515.1,CAADGK010000050,0,7186,RiPP-like,TRUE,RiPPs
CAADGK010000056.region001,2046,GCA_900696515.1,CAADGK010000056,89125,100976,RiPP-like,FALSE,RiPPs
CAADGK010000064.region001,2428;2042,GCA_900696515.1,CAADGK010000064,0,26474,phosphonate,TRUE,Others
CAADGK010000069.region001,3372;3542,GCA_900696515.1,CAADGK010000069,7256,18105,RiPP-like,FALSE,RiPPs
CAADGK010000086.region001,2007,GCA_900696515.1,CAADGK010000086,6159,28343,terpene,FALSE,Terpene
CAADGK010000104.region001,1955;2167,GCA_900696515.1,CAADGK010000104,0,17305,NRPS,TRUE,NRPS
CAADGK010000133.region001,2519,GCA_900696515.1,CAADGK010000133,26308,47364,terpene,FALSE,Terpene
CAADGP010000094.region001,3549,GCA_900696565.1,CAADGP010000094,0,18308,terpene,TRUE,Terpene
CAADGP010000102.region001,3548,GCA_900696565.1,CAADGP010000102,6078,17941,RiPP-like,FALSE,RiPPs
CAADGP010000125.region001,3553,GCA_900696565.1,CAADGP010000125,14555,30006,terpene,TRUE,Terpene
CAADGP010000133.region001,2511,GCA_900696565.1,CAADGP010000133,0,7843,terpene,TRUE,Terpene
CAADGP010000155.region001,3414;3550,GCA_900696565.1,CAADGP010000155,0,15252,NRPS,TRUE,NRPS
CAADGP010000163.region001,3546,GCA_900696565.1,CAADGP010000163,0,27823,NRPS;T1PKS,TRUE,PKS-NRP_Hybrids
CAADGP010000180.region001,2549,GCA_900696565.1,CAADGP010000180,0,16056,RRE-containing,TRUE,RiPPs
CAADGP010000188.region001,2557,GCA_900696565.1,CAADGP010000188,1705,13187,RiPP-like,FALSE,RiPPs
CAADGP010000195.region001,2532,GCA_900696565.1,CAADGP010000195,0,23755,NRPS,TRUE,NRPS
CAADGP010000207.region001,1966;3544,GCA_900696565.1,CAADGP010000207,0,24763,NRPS-like;phosphonate,TRUE,Others
CAADGP010000231.region001,3551,GCA_900696565.1,CAADGP010000231,1382,23817,betalactone,TRUE,Others
CABVRO010000011.region001,2558,GCA_902500715.1,CABVRO010000011,0,26091,betalactone,TRUE,Others
CABVRO010000012.region001,2511,GCA_902500715.1,CABVRO010000012,18426,40604,terpene,FALSE,Terpene
CABVRO010000016.region001,2549,GCA_902500715.1,CABVRO010000016,14019,34337,RRE-containing,FALSE,RiPPs
CABVRO010000023.region001,2550,GCA_902500715.1,CABVRO010000023,20534,36506,terpene,TRUE,Terpene
CABVRO010000036.region001,2554;2537,GCA_902500715.1,CABVRO010000036,1081,29630,phosphonate,TRUE,Others
CABVRO010000113.region001,2559,GCA_902500715.1,CABVRO010000113,0,10987,terpene,TRUE,Terpene
CABVRO010000123.region001,2547,GCA_902500715.1,CABVRO010000123,0,10068,RiPP-like,TRUE,RiPPs
CABVRO010000137.region001,2551;2151,GCA_902500715.1,CABVRO010000137,0,8225,NRPS,TRUE,NRPS
CABVRQ010000002.region001,1976,GCA_902500695.1,CABVRQ010000002,2761,14246,RiPP-like,FALSE,RiPPs
CABVRQ010000009.region001,2296,GCA_902500695.1,CABVRQ010000009,18873,41399,terpene,FALSE,Terpene
CABVRQ010000014.region001,1978,GCA_902500695.1,CABVRQ010000014,38561,53362,"NAGGN",FALSE,Others
CABVRQ010000018.region001,2044,GCA_902500695.1,CABVRQ010000018,29359,51528,terpene,FALSE,Terpene
CABVRQ010000028.region001,1980,GCA_902500695.1,CABVRQ010000028,32839,47917,terpene,TRUE,Terpene
CABVRQ010000051.region001,3481;1981;3037,GCA_902500695.1,CABVRQ010000051,15855,29312,terpene,TRUE,Terpene
CABVRQ010000092.region001,3052;1982,GCA_902500695.1,CABVRQ010000092,0,13378,phosphonate,TRUE,Others
CABVRR010000004.region001,1983;2028,GCA_902500705.1,CABVRR010000004,11596,53276,phosphonate,FALSE,Others
CABVRR010000007.region001,2422,GCA_902500705.1,CABVRR010000007,37794,58550,hserlactone,FALSE,Others
CABVRR010000012.region001,1985;2952,GCA_902500705.1,CABVRR010000012,0,25637,lassopeptide,TRUE,RiPPs
CABVRR010000013.region001,3157,GCA_902500705.1,CABVRR010000013,23410,34913,RiPP-like,FALSE,RiPPs
CABVRR010000019.region001,2007,GCA_902500705.1,CABVRR010000019,7186,29373,terpene,FALSE,Terpene
CABVRR010000023.region001,1988;2047,GCA_902500705.1,CABVRR010000023,2901,39905,NRPS,TRUE,NRPS
CABVRR010000032.region001,2302,GCA_902500705.1,CABVRR010000032,0,32899,NRPS;T1PKS,TRUE,PKS-NRP_Hybrids
CABVRR010000047.region001,1990,GCA_902500705.1,CABVRR010000047,0,15061,terpene,TRUE,Terpene
CABVRR010000057.region001,2527,GCA_902500705.1,CABVRR010000057,0,21106,T1PKS,TRUE,PKSI
CABVRR010000063.region001,1992,GCA_902500705.1,CABVRR010000063,0,19307,NRPS,TRUE,NRPS
CABVRR010000071.region001,1993,GCA_902500705.1,CABVRR010000071,9719,16721,RiPP-like,TRUE,RiPPs
CABVRR010000077.region001,2519,GCA_902500705.1,CABVRR010000077,1729,15673,terpene,TRUE,Terpene
CABVRS010000001.region001,2035,GCA_902500745.1,CABVRS010000001,28269,39757,RiPP-like,FALSE,RiPPs
CABVRS010000020.region001,2519,GCA_902500745.1,CABVRS010000020,13647,32317,terpene,TRUE,Terpene
CABVRS010000031.region001,2047,GCA_902500745.1,CABVRS010000031,0,25051,NRPS,TRUE,NRPS
CABVRS010000034.region001,2043,GCA_902500745.1,CABVRS010000034,10510,23574,hserlactone,TRUE,Others
CABVRS010000039.region001,2007,GCA_902500745.1,CABVRS010000039,0,21635,terpene,TRUE,Terpene
CABVRS010000058.region001,2428;2042,GCA_902500745.1,CABVRS010000058,0,14556,phosphonate,TRUE,Others
