bgc_id,GCF,genome_id,contig,start,end,product,contig_edge,class
BJHF01000010.1.region001,1918,GCA_014191855.1,BJHF01000010.1,77871,88714,RiPP-like,FALSE,RiPPs
BJHF01000022.1.region001,1919,GCA_014191855.1,BJHF01000022.1,21748,66476,arylpolyene,FALSE,Others
BJHF01000033.1.region001,1920,GCA_014191855.1,BJHF01000033.1,19254,59021,hglE-KS,TRUE,PKSother
BJHF01000048.1.region001,1921,GCA_014191855.1,BJHF01000048.1,13499,50216,T1PKS,TRUE,PKSI
BJHF01000076.1.region001,1922,GCA_014191855.1,BJHF01000076.1,0,29678,arylpolyene,TRUE,Others
BJHF01000096.1.region001,2047,GCA_014191855.1,BJHF01000096.1,0,23741,terpene,TRUE,Terpene
BJHF01000106.1.region001,1924,GCA_014191855.1,BJHF01000106.1,0,20394,T1PKS,TRUE,PKSI
BJHF01000151.1.region001,1925,GCA_014191855.1,BJHF01000151.1,0,10248,T3PKS,TRUE,PKSother
BNCN01000002.1.region001,1926,GCA_014656495.1,BNCN01000002.1,486169,509469,RRE-containing,FALSE,RiPPs
BNCN01000002.1.region002,5032,GCA_014656495.1,BNCN01000002.1,641257,684155,NRPS-like,FALSE,NRPS
BNCN01000002.1.region003,1928,GCA_014656495.1,BNCN01000002.1,735120,782899,NRPS,FALSE,NRPS
BNCN01000002.1.region004,5170,GCA_014656495.1,BNCN01000002.1,840303,857559,siderophore,FALSE,Others
BNCN01000003.1.region001,8062,GCA_014656495.1,BNCN01000003.1,260219,283330,lanthipeptide-class-ii,FALSE,RiPPs
BNCN01000003.1.region002,8063,GCA_014656495.1,BNCN01000003.1,310463,383908,T1PKS;NRPS-like;NRPS,FALSE,PKS-NRP_Hybrids
BNCN01000004.1.region001,6904,GCA_014656495.1,BNCN01000004.1,8516,84564,T1PKS;NRPS,FALSE,PKS-NRP_Hybrids
BNCN01000004.1.region002,6905;5045,GCA_014656495.1,BNCN01000004.1,207649,219353,RiPP-like,FALSE,RiPPs
BNCN01000004.1.region003,8826;4538,GCA_014656495.1,BNCN01000004.1,265168,333000,NRPS;T1PKS,FALSE,PKS-NRP_Hybrids
BNCN01000004.1.region004,9074,GCA_014656495.1,BNCN01000004.1,384427,453377,NRPS;T1PKS,FALSE,PKS-NRP_Hybrids
BNCN01000006.1.region001,1936;8660,GCA_014656495.1,BNCN01000006.1,295028,305877,RiPP-like,FALSE,RiPPs
BNCN01000007.1.region001,6910,GCA_014656495.1,BNCN01000007.1,73833,143052,NRPS;T1PKS,FALSE,PKS-NRP_Hybrids
BNCN01000007.1.region002,1938,GCA_014656495.1,BNCN01000007.1,247162,338812,T1PKS;NRPS,FALSE,PKS-NRP_Hybrids
BNCN01000008.1.region001,1939;4689,GCA_014656495.1,BNCN01000008.1,382094,402502,phenazine,FALSE,Others
BNCN01000010.1.region001,1940;4095,GCA_014656495.1,BNCN01000010.1,95856,118745,lanthipeptide-class-ii,FALSE,RiPPs
BNCN01000012.1.region001,3959;5246,GCA_014656495.1,BNCN01000012.1,0,22566,ladderane,TRUE,Others
BNCN01000012.1.region002,8052;5053,GCA_014656495.1,BNCN01000012.1,273893,314976,T3PKS,FALSE,PKSother
BNCN01000013.1.region001,8057;5042,GCA_014656495.1,BNCN01000013.1,6387,84643,NRPS;T1PKS,FALSE,PKS-NRP_Hybrids
BNCN01000013.1.region002,4541,GCA_014656495.1,BNCN01000013.1,118360,138657,RRE-containing,FALSE,RiPPs
BNCN01000013.1.region003,1945,GCA_014656495.1,BNCN01000013.1,214636,249846,NRPS,TRUE,NRPS
BNCN01000014.1.region001,1946,GCA_014656495.1,BNCN01000014.1,92614,114012,RRE-containing;RiPP-like,FALSE,RiPPs
