BGC,Accession ID,Description,Product Prediction,BiG-SCAPE class,Organism,Taxonomy,genome_id,group
BBEO01000017.1.region001,BBEO01000017.1,Byssovorax cruenta strain JCM 12614,NRPS,NRPS,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BBEO01000114.1.region001,BBEO01000114.1,Byssovorax cruenta strain JCM 12614,RiPP-like,RiPPs,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BBEO01000191.1.region001,BBEO01000191.1,Byssovorax cruenta strain JCM 12614,T1PKS,PKSI,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BBEO01000385.1.region001,BBEO01000385.1,Byssovorax cruenta strain JCM 12614,NRPS,NRPS,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BBEO01000617.1.region001,BBEO01000617.1,Byssovorax cruenta strain JCM 12614,NRPS-like,NRPS,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BBEO01000880.1.region001,BBEO01000880.1,Byssovorax cruenta strain JCM 12614,resorcinol,Others,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BBEO01000892.1.region001,BBEO01000892.1,Byssovorax cruenta strain JCM 12614,proteusin,RiPPs,Byssovorax cruenta,"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Byssovorax,Byssovorax cruenta",GCA_001312805,NCBI
BGC0000001.1,BGC0000001.1,"Verrucosispora maris AB-18-032 protein methyltransferase (orfP), putative hydrolase, pathway-specific SARP activator (abyR), cytochrome P450 (abyX), LuxR family transcriptional regulator (abyH), pathway-specific SARP activator (abyI), YD repeat protein (abyK), 3-oxoacyl-ACP synthase III (abyA1), phosphatase and glyceryl transferase (abyA2), acyl-carrier protein (abyA3), pyruvate/2-oxoglutarate dehydrogenase (abyA4), AbyA5 (abyA5), type 1 polyketide synthase (abyB1), type 1 polyketide synthase (abyB2), type 1 polyketide synthase (abyB3), TetR regulatory protein (abyC), EmrB/QacA drug resistance transporter (abyD), luciferase/monooxygenase (abyE), BC transporter oligopeptide binding protein (abyF1), ABC transporter oligopeptide permease (abyF2), binding-protein dependent ABC transporter (abyF3), ATP-binding ABC peptide transporter (abyF4), cytochrome P450 (abyV), alcohol dehydrogenase (abyW), NAD(P)H-depedent FMN-reductase (abyZ), type II thioesterase (abyT), Zn-dependent alcohol dehydrogenase (orfU), and TetR transcriptional regulator (orfS) genes, complete cds",T1PKS,PKSI,Verrucosispora maris AB-18-032,"Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora",,MIBIG
BGC0000002.1,BGC0000002.1,"Kutzneria albida DSM 43870, complete genome",oligosaccharide.T1PKS,Others,Kutzneria albida DSM 43870,"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria",,MIBIG
BGC0000003.1,BGC0000003.1,"Alternaria alternata AF-toxin biosynthesis gene cluster (Aft9-1, Aft10-1, Aft11-1, Aft12-1, AftR-2, Aft3-2), complete cds",T1PKS,PKSI,Alternaria alternata,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria alternata group",,MIBIG
